302,245
584,245
1483,272
1784,253
2092,264
2369,249
2662,259
2942,246
3231,251
3542,264
3835,246
4125,254
4413,249
4721,268
5030,269
5669,594
5961,259
6253,249
6565,267
6874,266
7181,259
7458,249
7754,255
8062,268
8370,269
8667,259
8964,259
9270,259
9547,249
9730,256
9838,263
9990,243
10127,264
10278,264
10399,257
10567,268
10687,266
10841,261
10978,265
11130,263
11267,269
11420,267
11555,263
11707,268
11846,265
11378,272
11519,255
12181,264
12231,371
12498,259
12557,267
12814,252
12877,267
13125,259
13189,259
13442,259
13505,268
13771,264
13816,261
14239,360
14239,356
14571,270
14571,269
14900,258
14900,267
15227,261
15228,260
15540,251
15541,253
15887,286
15888,286
16231,290
16232,291
16560,258
16559,258
16891,261
16893,261
17182,260
17201,260
17489,263
17469,263
17744,256
17784,270
18083,297
18104,316
18392,259
18371,261
18660,263
18679,269
18936,246
18971,262
19244,257
19224,246
19512,263
19531,260
19866,309
19847,308
20138,265
20158,265
20407,250
20431,251
20716,264
20715,269
20991,259
20990,257
21266,251
21278,264
21539,256
21554,256
21811,255
21839,261
22117,264
22131,267
22408,270
22420,266
22696,270
23258,267
23490,781
23610,315
23762,260
23881,248
24050,268
24171,268
24342,270
25026,272
25007,371
25312,258
25293,258
25585,264
25605,263
25877,262
25857,263
26145,271
26165,271
27313,1140
27333,1140
27624,267
27605,265
27878,263
27898,265
28263,260
28284,262
28541,263
28576,266
28828,264
28849,261
29122,254
29105,261
29389,268
29410,258
29686,250
29666,250
30032,354
30051,354
30779,714
30758,714
31035,249
31055,248
31314,264
31334,264
31621,265
31601,265
31872,250
31893,250
32423,258
32403,258
32708,259
32688,259
32977,264
32997,264
33288,267
33269,267
33557,266
33576,266
33831,258
33851,259
34121,256
34101,255
34393,266
34413,266
34701,267
34681,266
34969,268
34988,268
35805,369
35785,369
36082,258
36059,258
36369,261
36349,261
36642,255
36622,255
36910,267
36930,268
37735,359
37755,359
38021,258
38041,259
38313,265
38333,269
38621,268
38601,264
38889,267
38909,261
39509,369
39489,369
39786,251
39766,251
40038,256
40058,256
40336,255
40316,254
40589,257
40609,258
41379,366
41359,366
41618,248
41642,248
41933,267
41913,267
42200,266
42221,266
42504,269
42525,269
42796,254
42781,254
43070,261
43090,261
43356,266
43374,265
43648,259
43630,260
43908,253
43929,247
44176,255
44199,259
44469,266
44489,271
44776,280
44796,280
45088,274
45068,274
45356,263
45376,263
45647,256
45628,256
45901,259
45921,259
46463,519
46444,519
46752,268
46732,267
47054,270
47035,270
47343,267
47326,267
47598,256
47618,256
47906,265
47886,265
48158,258
48178,258
48434,259
48454,258
48732,263
48712,264
48650,278
49031,278
48999,278
48999,276
49330,264
49330,264
49674,268
49674,269
49986,256
49987,256
50299,255
50299,255
50630,266
50630,270
50958,260
50958,266
51289,268
51290,263
51747,308
51749,309
52151,370
52171,370
52459,261
52440,261
52727,263
52747,263
53230,358
53210,358
53802,496
53821,496
54112,266
54092,266
54380,266
54400,267
54689,261
54669,268
54977,264
54957,270
55236,247
55232,252
55526,268
55535,276
55797,259
55808,262
56070,260
56085,269
56362,269
56376,264
56634,258
56646,254
56907,254
56920,255
57316,354
57337,382
57625,267
57608,266
57897,267
57917,279
58168,257
58209,259
58539,269
58519,270
59120,260
59141,269
59429,259
59409,258
59697,260
59718,261
59988,263
60009,264
60297,264
60277,262
60658,265
60679,266
60969,266
60949,265
61237,259
61258,261
61546,264
61527,262
61799,255
61819,257
62113,266
62094,264
62701,262
62681,260
62969,257
62989,257
63278,261
63260,262
63548,262
63568,262
63839,269
63859,268
64107,250
64148,259
64420,261
64415,262
64708,260
64689,255
64993,263
64976,264
65249,256
65269,256
65564,264
65545,265
65813,259
65833,258
66480,629
66460,628
66736,261
66756,258
67044,262
67025,265
67303,258
67324,255
67575,260
67595,257
67870,246
67851,249
68159,272
68154,276
68447,266
68442,264
68705,249
68720,260
68994,263
69014,273
69285,254
69265,259
69600,304
69620,304
69876,261
69896,260
